"TeBS_k_latosa" "TeBS_ks_max" "TeBS_wooddens" "TeBS_psi50_xylem" "TeBS_sla" "TeBS_isohydricity" "TeBS_delta_psi_max" "broadleaved_gmin"
31407.7441536699 57.4898292971194 183.957115252269 -14.982357070069 51.1257287521339 0.0232188456924632 0.916365429433063 0.76517043071799
85240.7697784635 124.728301218945 172.664309203392 -1.24635946013761 136.00809165193 0.986302128038369 0.856349013606086 0.595522443950176
44459.34526756 33.6724034373743 176.13939206698 -11.7475078973461 97.5842320897594 0.632258473103866 0.82016671532765 0.339872658904642
95423.2478852146 179.22621298598 448.253523588646 -7.14375256577679 131.891788225755 0.547246774751693 1.04033200256526 0.7225092837587
101599.661534306 178.031313607829 432.156343170209 -15.3985977137173 49.452771600394 0.0127230694284663 0.403299576649442 0.314892186154611
5388.16102633708 100.377115186855 524.175362561364 -6.52907395524155 24.8782189810864 -0.187169418879785 1.30358967562206 0.707329859794118
57266.8097703955 162.484398070833 398.33005356486 -5.12165067947947 144.97296648023 0.0856791645754129 0.639937293482944 0.495374730508775
96434.0144826583 62.0622009201209 106.479152835673 -9.57805697037892 3.54331186230542 0.404689442366362 1.48229981665499 0.371702266926877
59774.9578235402 13.8192783633207 69.0202506084461 -2.62273902165699 93.643890780875 0.714842806896195 1.69344557514414 0.633278881618753
49580.8675402543 92.5343349179085 230.266479843995 -3.31038152517388 157.653252552885 0.0533939923159779 0.447014812706038 0.609293082682416
103359.170211783 97.0622762223482 698.967601848999 -0.486393401628838 45.4585856024811 0.11232367802877 0.979107868764549 0.524381614243612
49228.1737921509 71.6225803829508 264.172923560254 -6.38657755261643 160.28956812152 0.931951085058972 1.2571751551237 0.703299806290306
73335.7479798135 38.9120613258427 510.95720357378 -6.83387265045646 7.89775982854846 0.33733261001762 1.44731127112173 0.735303441714495
62053.9879829964 106.489242761113 518.406774443574 -17.9782661611439 43.6572777059012 0.964846861222759 1.37179462406784 0.79309136508964
11555.7914622161 4.06934879551367 804.158038103487 -15.2616680776094 43.964880767797 0.799670567619614 0.897520304145291 0.50131828810554
97230.2226252786 162.483120898137 207.436520803021 -18.2124108381701 154.542714579427 0.973572276742197 1.610360204475 0.476065965555608
26947.1938820469 117.547280068036 626.275985531975 -3.02405895881711 159.592757704645 -0.151813435880467 1.32061525546014 0.360949325561523
5012.20362566294 134.721495765963 245.578566172626 -10.9059944604847 120.19427338824 0.108175966632552 0.772242297185585 0.795306548080407
35745.025357302 98.3920076596546 308.951903916895 -3.58324188662176 48.3971097282907 0.928079750621691 0.970564700569957 0.767864857870154
103108.705504947 58.6658313003317 67.6339435321279 -15.9922994238674 67.9132743068312 0.534008352318779 1.65170330777764 0.769514925265685
96124.4160418001 96.877031136751 808.080986981513 -11.2530366485802 34.5965788065281 0.973248624219559 1.57918551615439 0.503741051256657
74973.4170648468 166.483342275901 391.35433076066 -5.34882097076278 125.367577531235 0.963615609891713 0.619310806039721 0.686090165004134
69351.0313365617 122.985348440951 808.278114962159 -17.7081272654553 121.595189883965 0.649716718285344 0.730163306230679 0.494107656599954
107383.945962925 82.9235966911219 211.555781017523 -12.6606387310368 82.2921849122087 0.209395698062144 0.785359287494793 0.316313953907229
70985.0681714636 170.367393978667 148.050212832168 -4.33723518336007 109.930839441658 0.562501083035022 0.361207860754803 0.498107144446112
76664.2272106155 66.9255072135021 251.798655655002 -3.14963550937464 123.098568005457 0.0344020118005574 1.64908299501985 0.779461763752624
58982.7206827381 122.120683167111 571.955069308169 -2.5880073677908 126.53658710507 0.102738009789027 1.44177520098165 0.561165405041538
64366.3709531856 95.6744616340798 495.054451075848 -1.050533744928 99.4352558881768 0.792593297082931 1.2446119457949 0.636896328721196
31577.8476886992 56.4779723387403 375.178735676454 -11.6611449932464 64.9502694429532 0.594755070796236 0.868461174052209 0.305103343282826
16306.5293751261 116.605005947823 608.240026461426 -1.09546698295033 110.02048084281 0.707411753875203 0.67260353458114 0.552798285684548
104024.750016779 48.5892364865418 492.771351096453 -5.69196925444771 141.854140559359 0.100192041951232 1.59965088372119 0.67639522482641
97496.2094085039 114.097179295267 495.338186009321 -10.9521569104219 72.3222276129395 0.534031819691882 0.813203014386818 0.525853479118086
74747.8481914544 94.0118268670331 504.549349938752 -11.5239114261305 21.5673171520754 0.497409115824848 1.06928895567544 0.6823082880117
86010.7838774334 27.3952972291833 231.081613360438 -14.893983025855 101.649722294827 -0.00547903627157209 1.02946587670594 0.581291207880713
3136.60737590673 130.577587375824 142.101762478705 -4.79000702575952 79.4080202833466 0.0200069822138176 1.59778727851808 0.667702862829901
51858.0537270683 115.096879745944 613.696990067838 -10.5215234761003 150.639557865615 0.841085408837535 1.00242916550487 0.665164548624307
